Código;Descripción;;Linea;Imp.;Desc.;Precio Vent.;Precio May.;Precio Cost.;Stock Min;Mon.
7896058235531;OBLEAS RELLENAS SABOR CHOCOLATE ARCOR;UNIDADES;1;10;0;2.500;0;1.561;2;1
7896058235548;WAFER FRUTILLA ARCOR.110GR;UNIDADES;1;10;0;2.500;0;0;2;1
7896058252651;MINI WAFER;UNIDADES;1;10;0;1.000;0;735;2;1
7896058252668;MINI WAFER;UNIDADES;1;10;0;1.000;0;780;2;1
7896058252675;MINI WAFER VAINILLA;UNIDADES;1;10;0;1.000;0;0;2;1
7896058252972;GALLETITAS RELLENAS ARCOR CHOCOLATE 150G;UNIDADES;1;10;0;2.500;0;1.944;2;1
7896058252989;GALLETITA RELLENAS FRUTILLA 150G;UNIDADES;1;10;0;2.500;0;1.944;2;1
7896058252996;GALLETITA RELLENAS CHOCOFRUTILLA 150G;UNIDADES;1;10;0;2.500;0;1.944;2;1
7896058255102;GALLETITA ARCOR FRU/FRE 12;UNIDADES;26;10;0;2.590;0;2.055;2;1
7896058255119;ARCOR GALLETITA RELLENA CHOCOLATE 120G;UNIDADES;26;10;0;2.500;0;2.055;2;1
7896058255126;ARCOR GALLETITA RELLENA FRUTILLA/FRESA 120GR;UNIDADES;26;10;0;2.500;0;2.055;2;1
7896058255546;PAN DULCE ARCOR C/FRUTAS 500GR;UNIDADES;26;10;0;11.500;0;9.583;2;1
7896058255553;PAN DULCE GOTAS CHOCO 500GR;UNIDADES;26;10;0;13.000;0;10.835;2;1
7896058256215;TORTUGA GALLETITA RELLEA CHOCO BAUN 130GR;UNIDADES;26;10;0;2.500;0;1.599;2;1
7896058256222;TORTUGA GALLETITA RELLENA BRIGADEIRO 130GR;UNIDADES;26;10;0;2.500;0;1.599;2;1
7896058256239;TORTUGA GALLETITA RELLENA CHOCO 130GR;UNIDADES;26;10;0;2.500;0;1.599;2;1
7896058256246;TORTUGA GALLETITA RELLENA MORANGO 130GR;UNIDADES;26;10;0;2.500;0;1.599;2;1
7896058257205;ARCOR WAFER CHOCOLATE 108G;UNIDADES;24;10;0;3.000;0;2.307;2;1
7896058257229;ARCOR WAFER FRUTILLA 108G;UNIDADES;24;10;0;3.000;0;2.307;2;1
7896058257465;ARCOR PAN DULCE CON FRUTAS 400GR;UNIDADES;26;10;0;20.000;0;15.831;2;1
7896058257472;PAN DULCE GOTAS CHOCO 400GR;UNIDADES;24;10;0;20.000;0;15.831;2;1
7896058257717;TORTUGUITA FORMATO SABOR MORANGO 90G;UNIDADES;24;10;0;3.500;0;2.500;2;1
