id;categoria_id;nombre;precio;tipo_id
106;1040;Leche Condensada Norte 395gr lata;7900;1
107;1040;Leche Condensada Nestlé 397gr lata;11900;1
108;1040;Leche Condensada Moca Nestle 395gr;11300;1
109;1041;Dulce de Leche Coop 470gr pote;9300;1
110;1041;Dulce de Leche La Pradera Pote 450 gr;9900;1
111;1041;Postre Exquisita Dulce de Leche Light 60gr;5500;1
112;1042;Levadura Fresca Copalsa;6000;1
113;1043;Almidon de Maiz Maizena 215gr paquete;7500;1
114;1043;Almidon de Maiz Maizena 520gr paquete;13700;1
115;1044;Dulce de Guayaba Dulcesar 500gr;6250;1
116;1044;Dulce de Guayaba Dulcesar 250gr;3750;1
117;1044;Dulce de Guayaba Dulcesar 1kg;10000;1
118;1045;"Miel de Abeja ""Abeja de Oro"" 250gr Frasco";13800;1
119;1045;Miel de Caña Dulce Dul Cesar 500ml;8690;1
120;1045;"Miel de Abeja ""Abeja de Oro"" 1.4kg botella";58300;1
121;1046;Dulce de batata con chocolate 3 Hermanas 250gr;5900;1
122;1046;Dulce de Batata Dulcesar Premium 250gr plastico;5500;1
123;1046;Dulce de Batata Dulcesar con Chocolate 400gr;6450;1
124;1047;Postre Exquisita Vainilla Caja 80gr;6700;1
125;1047;Flan Exquisita Vainilla 60gr;6500;1
126;1048;Gelatina Exquisita Frutilla Light 25gr;7900;1
127;1048;Gelatina Exquisita Frutilla 50gr;7500;1
128;1048;Gelatina La Pradera Diet. Naranja 120gr;1700;1
129;1049;Nutella Ferrero 350gr;38900;1
130;1049;Nutella 140gr;21100;1
131;1049;Nutella Ferrero 750gr;64900;1
132;1050;Mermelada Sabores de Aregua Guayaba 440gr;9700;1
133;1050;Mermelada Sabores de Aregua Ciruela 440gr;9700;1
134;1050;Mermelada Sabores de Aregua Frutilla 440gr;13300;1
135;1051;Brownie Chocolate Exquisita 425gr;18500;1
136;1051;Bizcochuelo Exquisita Vainilla 540gr;18950;1
137;1051;Bizcochuelo Exquisita Chocolate 540gr;18200;1
138;1052;Galleta Molida Primicia 400gr;3050;1
139;1052;Galleta Molida Primicia 800gr;6500;1
140;1052;Galleta Molida Mickey 800gr;7800;1
141;1053;Dulce de Mamón en Almibar Primicia 1kg frasco;19300;1
142;1054;Harina de Maíz Fresca por Kilo;8600;1
143;1055;Manteca de Mani Dulcesar 230gr;20700;1
144;1055;Mantequilla de Maní Nature Fit 370gr;25500;1
145;1056;Masa Para Tapioca Tapioguay 1kg;22500;1
146;1056;Tapioca Hidratada Da Terrinha 500gr;17200;1
147;1057;Cafe Nescafe Sachet 50gr;8100;1
148;1057;Nescafe Gold 100gr;45900;1
149;1057;Café Nescafé Frasco 50gr;9800;1
150;1058;Te Hornimans Rojo Clásico x25;9500;1
151;1058;Te Guarani Verde x10;4500;1
152;1058;Te Guarani Verde Menta 15gr;6650;1
153;1059;Yerba Pajarito Especial 500gr;9359;1
154;1059;Yerba Pajarito Especial 1 kg;18100;1
155;1059;Yerba Kurupi Compuesta Menta y Boldo 500gr;9450;1
156;1060;MATE COCIDO KURUPI TORRADO;7300;1
157;1060;Cocido Pajarito soluble bolsa 75gr;17100;1
158;1060;Cocido Abuelita Saquitos caja de 25 unidades;7350;1
159;1061;Cafe Mayo Molido Paquete 100gr;5900;1
160;1061;Cafe Mayo Molido Paquete 200gr;11850;1
161;1061;Cafe Mayo Molido 500gr;28900;1
162;1062;Filtro para Cafe Melitta Num. 102;6200;1
163;1063;Snacks Doritos Queso 180gr Bolsa;15000;1
164;1063;Turrón de Maní Arcor 50gr;960;1
165;1063;Chocolate Vizzio Costa Almendras 72g caja;11300;1
166;1064;Barrita Cereal Bar Golden 21gr;1700;1
167;1064;Barrita Cereal Bar Frutos Rojos Con Yogurt 21gr;1700;1
168;1064;Barrita Cereal Bar Chocolate 21gr;1900;1
169;1065;Alfajor Bon o Bon Negro 40g;3000;1
170;1065;Alfajor Bon o Bon Blanco 40g;3000;1
171;1065;Alfajor Aguila Mini Torta Coco 72gr;4550;1
172;1066;Papas Fritas Pringles Original 71gr;8400;1
173;1066;Papas Fritas Pringles Original 40gr;5600;1
174;1066;Papas Fritas Lays Clásicas 250gr;20000;1
175;1067;Quadritos de Avena Quaker 300gr;28750;1
176;1067;Avena Instantanea Quaker 400gr;12100;1
177;1067;Avena Instantanea Quaker 700gr;19200;1
178;1068;Nesfit Cereal Integral Trigo Arroz Maiz Miel Almendras 300gr;22900;1
